URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/formatcodes,4.0.1,active,"1.3.6.1.4.1.19376.1.2.7.1",DocumentReferenceFormatCodeSet,DocumentReference Format Code Set,"The value set is defined to be the set of format codes defined by the IHE Technical Framework, and also including additional format codes defined by the    HL7. The value set is listed in HITSP C80 Table 2-153 Format Code Value Set Definition,    with additions published later by IHE as published    at http://wiki.ihe.net/index.php?title=IHE_Format_Codes   and with additions published later by HL7 as published at https://confluence.hl7.org/display/SD/Format+Codes+for+IHE+XDS.   This is the code specifying the technical format of the document. Along with the typeCode,    it should provide sufficient information to allow any potential document consumer to know    if it will be able to process the document. The code shall be sufficiently specific to    ensure processing/display by identifying a document encoding, structure and template. The actual list of codes here is incomplete","StructureDefinition/DocumentReferenceDocumentReference","Other"
http://hl7.org/fhir/ValueSet/forms,4.0.1,draft,"2.16.840.1.113883.4.642.3.37",Form Codes,Forms,"This value set includes a sample set of Forms codes.","StructureDefinition/DebtPortalPaymentReconciliation","THO"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/VAERSBundle","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/icd-10,4.0.1,draft,"2.16.840.1.113883.4.642.3.531",ICD-10Codes,ICD-10 Codes,"This value set includes sample ICD-10 codes.","StructureDefinition/DebtPortalChargeItemcharges,StructureDefinition/DebtPortalChargeItemremoved,StructureDefinition/DebtPortalChargeIteminterest","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/EncounterInpatientEncounter,StructureDefinition/SmokingStatusObservation,StructureDefinition/VitalSignsBP,StructureDefinition/ImplantableDeviceDental,StructureDefinition/LabObservationMicrobiologyVirologyObservation,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/DiagnosticReportNoteCytopathologyDiagnosticReport,StructureDefinition/LabObservationMicrobiologyBacteriologyObservation,StructureDefinition/Practitioner,StructureDefinition/ImplantableDeviceTransmitter,StructureDefinition/LabObservationMicrobiologyMycobacteriologyDiagnosticReport,StructureDefinition/Organization,StructureDefinition/DiagnosticReportNoteElectronMicroscopyDiagnosticReport,StructureDefinition/Patient,StructureDefinition/LabObservationMicrobiologyParasitologyDiagnosticReport,StructureDefinition/LabObservationMicrobiologyVirologyDiagnosticReport,StructureDefinition/VAERSPatient,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservation,StructureDefinition/MedicationRequestNonVA,StructureDefinition/ImplantableDeviceALead,StructureDefinition/VitalSigns,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/DebtPortalChargeIteminterest,StructureDefinition/ObservationImagingResultRadNuc,StructureDefinition/ObservationImagingResultEcho,StructureDefinition/LabObservationMicrobiologyParasitologyObservation,StructureDefinition/DocumentReferenceDocumentReference,StructureDefinition/LabObservationMicrobiologyMycologyDiagnosticReport,StructureDefinition/VitalSignsSpO2,StructureDefinition/ImplantableDeviceVLead,StructureDefinition/ConditionProblem,StructureDefinition/MedicationRequestUnsigned,StructureDefinition/DebtPortalPaymentReconciliation,StructureDefinition/ObservationImagingResultEKG,StructureDefinition/DiagnosticReportNoteSurgicalPathologyDiagnosticReport,StructureDefinition/LabObservationMicrobiologyMycologyObservation,StructureDefinition/ImplantableDeviceProsthesis,StructureDefinition/AllergyIntolerance,StructureDefinition/DebtPortalAccount,StructureDefinition/EncounterOutpatient,StructureDefinition/MedicationRequestOutpatient,StructureDefinition/ImplantableDevicePacemaker,StructureDefinition/LabObservationMicrobiologyDiagnosticReport,StructureDefinition/ConditionEncounterDiagnosis,StructureDefinition/MedicationRequestPending,StructureDefinition/Location,StructureDefinition/LabObservationMicrobiologyBacteriologyDiagnosticReport","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/EncounterInpatientEncounter,StructureDefinition/SmokingStatusObservation,StructureDefinition/VitalSignsBP,StructureDefinition/ImplantableDeviceDental,StructureDefinition/LabObservationMicrobiologyVirologyObservation,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/DiagnosticReportNoteCytopathologyDiagnosticReport,StructureDefinition/LabObservationMicrobiologyBacteriologyObservation,StructureDefinition/Practitioner,StructureDefinition/ImplantableDeviceTransmitter,StructureDefinition/LabObservationMicrobiologyMycobacteriologyDiagnosticReport,StructureDefinition/Organization,StructureDefinition/DiagnosticReportNoteElectronMicroscopyDiagnosticReport,StructureDefinition/Patient,StructureDefinition/LabObservationMicrobiologyParasitologyDiagnosticReport,StructureDefinition/LabObservationMicrobiologyVirologyDiagnosticReport,StructureDefinition/VAERSPatient,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservation,StructureDefinition/MedicationRequestNonVA,StructureDefinition/ImplantableDeviceALead,StructureDefinition/VitalSigns,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/DebtPortalChargeIteminterest,StructureDefinition/ObservationImagingResultRadNuc,StructureDefinition/ObservationImagingResultEcho,StructureDefinition/LabObservationMicrobiologyParasitologyObservation,StructureDefinition/DocumentReferenceDocumentReference,StructureDefinition/LabObservationMicrobiologyMycologyDiagnosticReport,StructureDefinition/VitalSignsSpO2,StructureDefinition/ImplantableDeviceVLead,StructureDefinition/ConditionProblem,StructureDefinition/MedicationRequestUnsigned,StructureDefinition/DebtPortalPaymentReconciliation,StructureDefinition/ObservationImagingResultEKG,StructureDefinition/DiagnosticReportNoteSurgicalPathologyDiagnosticReport,StructureDefinition/LabObservationMicrobiologyMycologyObservation,StructureDefinition/ImplantableDeviceProsthesis,StructureDefinition/AllergyIntolerance,StructureDefinition/DebtPortalAccount,StructureDefinition/EncounterOutpatient,StructureDefinition/MedicationRequestOutpatient,StructureDefinition/ImplantableDevicePacemaker,StructureDefinition/LabObservationMicrobiologyDiagnosticReport,StructureDefinition/ConditionEncounterDiagnosis,StructureDefinition/MedicationRequestPending,StructureDefinition/Location,StructureDefinition/LabObservationMicrobiologyBacteriologyDiagnosticReport","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/immunization-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.995",ImmunizationFunctionCodes,Immunization Function Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the function a practitioner or organization may play in the immunization event. This value set is provided as a suggestive example.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","THO (V2)"
http://hl7.org/fhir/ValueSet/immunization-funding-source,4.0.1,draft,"2.16.840.1.113883.4.642.3.293",ImmunizationFundingSource,Immunization Funding Source,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the source of the vaccine administered. This value set is provided as a suggestive example.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","THO"
http://hl7.org/fhir/ValueSet/immunization-origin,4.0.1,draft,"2.16.840.1.113883.4.642.3.296",ImmunizationOriginCodes,Immunization Origin Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the source of the data when the report of the immunization event is not based on information from the person, entity or organization who administered the vaccine. This value set is provided as a suggestive example.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","THO"
http://hl7.org/fhir/ValueSet/immunization-program-eligibility,4.0.1,draft,"2.16.840.1.113883.4.642.3.291",ImmunizationProgramEligibility,Immunization Program Eligibility,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the patient's eligibility for a vaccination program. This value set is provided as a suggestive example.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","THO"
http://hl7.org/fhir/ValueSet/immunization-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.290",ImmunizationReasonCodes,Immunization Reason Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the reason why a dose of vaccine was administered. This value set is provided as a suggestive example.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","SCT"
http://hl7.org/fhir/ValueSet/immunization-route,4.0.1,draft,"2.16.840.1.113883.4.642.3.289",ImmunizationRouteCodes,Immunization Route Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the administrative routes used during vaccination. This value set is provided as a suggestive example.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","THO (V3)"
http://hl7.org/fhir/ValueSet/immunization-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.288",CodesForImmunizationSiteOfAdministration,Codes for Immunization Site of Administration,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the body site where the vaccination occurred. This value set is provided as a suggestive example.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","THO (V3)"
http://hl7.org/fhir/ValueSet/immunization-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.295",ImmunizationStatusCodes,Immunization Status Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the current status of the administered dose of vaccine.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/immunization-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.992",ImmunizationStatusReasonCodes,Immunization Status Reason Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the reason why a dose of vaccine was not administered. This value set is provided as a suggestive example.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4","THO (V3),SCT"
http://hl7.org/fhir/ValueSet/immunization-subpotent-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.993",ImmunizationSubpotentReason,Immunization Subpotent Reason,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the reason why a dose is considered to be subpotent. This value set is provided as a suggestive example.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","THO"
http://hl7.org/fhir/ValueSet/immunization-target-disease,4.0.1,draft,"2.16.840.1.113883.4.642.3.1047",ImmunizationTargetDiseaseCodes,Immunization Target Disease Codes,"The value set to instantiate this attribute should be drawn from a terminologically robust code system that consists of or contains concepts to support describing the disease that the dose is being administered against. This value set is provided as a suggestive example and includes the SNOMED CT concepts from the 64572001 (Disease) hierarchy.","StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/VAERSabstract,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","SCT"
http://hl7.org/fhir/ValueSet/invoice-priceComponentType,4.0.1,draft,"2.16.840.1.113883.4.642.3.868",InvoicePriceComponentType,InvoicePriceComponentType,"Codes indicating the kind of the price component.","StructureDefinition/DebtPortalInvoice","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/LabObservationMicrobiologyBacteriologyObservationurine,StructureDefinition/LabObservationMicrobiologyMycobacteriologySpecimen,StructureDefinition/DiagnosticReportNoteCytopathologyDiagnosticReport,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationmycobact,StructureDefinition/LabObservationMicrobiologyBacteriologyObservation,StructureDefinition/ImplantableDeviceTransmitter,StructureDefinition/DecisionPrecisionPlusObservationsmoking,StructureDefinition/Patient,StructureDefinition/ProcedureOutpatient,StructureDefinition/LungCancerScreening,StructureDefinition/VitalSigns,StructureDefinition/VAERSBundle,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationgramstain,StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/VitalSignsSpO2,StructureDefinition/MedicationRequestUnsigned,StructureDefinition/LabObservationChemhemtoxriaserSpecimen,StructureDefinition/ObservationEXAM,StructureDefinition/AllergyIntolerance,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationsputum,StructureDefinition/ImplantableDevicePacemaker,StructureDefinition/MedRefillRequestMHVProvenancecreate,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservationacidfast,StructureDefinition/LabObservationChemhemtoxriaserDiagnosticReport,StructureDefinition/ImplantableDeviceDental,StructureDefinition/LabObservationMicrobiologyVirologyObservation,StructureDefinition/DecisionPrecisionPlusObservationsocial,StructureDefinition/LabObservationMicrobiologyVirologySpecimen,StructureDefinition/DiagnosticReportNoteElectronMicroscopySpecimen,StructureDefinition/DiagnosticReportNoteElectronMicroscopyDiagnosticReport,StructureDefinition/LabObservationDiagnosticReport,StructureDefinition/LabObservationMicrobiologyBacteriologyObservationbacteria,StructureDefinition/MedicationDispensePartial,StructureDefinition/LabObservationChemhemtoxriaserObservation,StructureDefinition/DebtPortalChargeIteminterest,StructureDefinition/LabObservationMicrobiologyParasitologySpecimen,StructureDefinition/LabObservationMicrobiologyBacteriologySpecimen,StructureDefinition/LabObservationMicrobiologyVirologyObservationvirus,StructureDefinition/LabObservationMicrobiologyParasitologyObservation,StructureDefinition/ImplantableDeviceVLead,StructureDefinition/LabObservationObservation,StructureDefinition/LabObservationMicrobiologySpecimen,StructureDefinition/LabObservationMicrobiologyMycologyObservation,StructureDefinition/Location,StructureDefinition/LabObservationMicrobiologyBacteriologyDiagnosticReport,StructureDefinition/EncounterInpatientEncounter,StructureDefinition/DiagnosticReportNoteSurgicalPathologySpecimen,StructureDefinition/ProcedureSurgeryProcedure,StructureDefinition/LungCancerScreeningCRNA,StructureDefinition/VAERSabstract,StructureDefinition/VitalSignsBP,StructureDefinition/Practitioner,StructureDefinition/Organization,StructureDefinition/DebtPortalChargeItemcharges,StructureDefinition/ImplantableDevice,StructureDefinition/LabObservationMicrobiologyParasitologyDiagnosticReport,StructureDefinition/LabObservationMicrobiologyVirologyDiagnosticReport,StructureDefinition/VAERSPatient,StructureDefinition/DocumentReferenceBinary,StructureDefinition/MedicationRequestNonVA,StructureDefinition/ImplantableDeviceALead,StructureDefinition/ObservationImagingResultRadNuc,StructureDefinition/DecisionPrecisionPlusabstract,StructureDefinition/DiagnosticReportNoteCytopathologySpecimen,StructureDefinition/DocumentReferenceDocumentReference,StructureDefinition/MedicationDispenseRefill,StructureDefinition/DebtPortalPaymentReconciliation,StructureDefinition/ObservationImagingResultEKG,StructureDefinition/EncounterInpatientCondition,StructureDefinition/DiagnosticReportNoteSurgicalPathologyDiagnosticReport,StructureDefinition/ImplantableDeviceProsthesis,StructureDefinition/DebtPortalAccount,StructureDefinition/EncounterOutpatient,StructureDefinition/MedicationRequestOutpatient,StructureDefinition/ConditionEncounterDiagnosis,StructureDefinition/MedicationRequestPending,StructureDefinition/ObservationImagingResult,StructureDefinition/DebtPortalInvoice,StructureDefinition/VAERSImmunizationvac1,StructureDefinition/SmokingStatusObservation,StructureDefinition/ImmunizationObservation,StructureDefinition/VAERSImmunizationvac3,StructureDefinition/LabObservationMicrobiologyObservation,StructureDefinition/VAERSImmunizationvac2,StructureDefinition/Appointment,StructureDefinition/LabObservationMicrobiologyMycobacteriologyDiagnosticReport,StructureDefinition/DecisionPrecisionPlusObservationsituation,StructureDefinition/LabObservationMicrobiologyMycobacteriologyObservation,StructureDefinition/ProcedureSurgeryLocationOR,StructureDefinition/VAERSImmunizationvac4,StructureDefinition/MedicationDispenseOriginal,StructureDefinition/ObservationImagingResultEcho,StructureDefinition/LabObservationMicrobiologyMycologyDiagnosticReport,StructureDefinition/VAERSAdverseEvent,StructureDefinition/ConditionProblem,StructureDefinition/DebtPortalPatient,StructureDefinition/MedRefillRequestMHVTask,StructureDefinition/LabObservationMicrobiologyMycologySpecimen,StructureDefinition/ProcedureRadiology,StructureDefinition/VAERSImmunizationpvac1,StructureDefinition/VAERSImmunizationpvac2,StructureDefinition/PractitionerRole,StructureDefinition/VAERSImmunizationpvac3,StructureDefinition/LabObservationMicrobiologyDiagnosticReport,StructureDefinition/DebtPortalChargeItemremoved,StructureDefinition/LabObservationMicrobiologyMycologyObservationfungus,StructureDefinition/MedRefillRequestMHVProvenancereview,StructureDefinition/VAERSImmunizationpvac4,StructureDefinition/ImmunizationImmunization","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/Patient,StructureDefinition/VAERSPatient,StructureDefinition/DebtPortalPatient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.3.330",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","StructureDefinition/ProcedureSurgeryLocationOR,StructureDefinition/Location","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.328",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","StructureDefinition/EncounterInpatientEncounter,StructureDefinition/EncounterOutpatient,StructureDefinition/ProcedureSurgeryLocationOR,StructureDefinition/Location","THO"
http://hl7.org/fhir/ValueSet/manifestation-or-symptom,4.0.1,draft,"2.16.840.1.113883.4.642.3.169",ManifestationAndSymptomCodes,Manifestation and Symptom Codes,"Example value set for Manifestation and Symptom codes.","StructureDefinition/ConditionEncounterDiagnosis,StructureDefinition/ConditionProblem,StructureDefinition/EncounterInpatientCondition","SCT"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/VAERSPatient,StructureDefinition/DebtPortalPatient","THO (V3)"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/LungCancerScreeningDRNA,StructureDefinition/LungCancerScreeningCRNA,StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationDispenseRefill,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned,StructureDefinition/MedicationDispenseOriginal","SCT"
http://hl7.org/fhir/ValueSet/medication-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.375",SNOMEDCTMedicationCodes,SNOMED CT Medication Codes,"This value set includes all drug or medicament substance codes and all pharmaceutical/biologic products from SNOMED CT - provided as an exemplar value set.","StructureDefinition/MedicationDispenseRefill,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedicationDispenseOriginal","SCT"
http://hl7.org/fhir/ValueSet/medicationdispense-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1314",MedicationDispense Category Codes,Medication dispense  category  codes,"MedicationDispense Category Codes","StructureDefinition/MedicationDispenseRefill,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedicationDispenseOriginal","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-performer-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.1318",MedicationDispense Performer Function Codes,Medication dispense  performer  function  codes,"MedicationDispense Performer Function Codes","StructureDefinition/MedicationDispenseRefill,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedicationDispenseOriginal","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1312",MedicationDispense Status Codes,Medication dispense  status  codes,"MedicationDispense Status Codes","StructureDefinition/MedicationDispenseRefill,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedicationDispenseOriginal","THO"
http://hl7.org/fhir/ValueSet/medicationdispense-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1316",MedicationDispense Status Reason Codes,Medication dispense  status  reason  codes,"MedicationDispense Status Codes","StructureDefinition/MedicationDispenseRefill,StructureDefinition/MedicationDispensePartial,StructureDefinition/MedicationDispenseOriginal","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1322",medicationRequest Category Codes,Medication request  category  codes,"MedicationRequest Category Codes","StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-course-of-therapy,4.0.1,draft,"2.16.840.1.113883.4.642.3.1326",medicationRequest Course of Therapy Codes,Medication request  course of  therapy  codes,"MedicationRequest Course of Therapy Codes","StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.1321",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1320",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/medicationrequest-status-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.1324",medicationRequest Status Reason Codes,Medication request  status  reason  codes,"MedicationRequest Status Reason Codes","StructureDefinition/MedicationRequestOutpatient,StructureDefinition/MedicationRequestNonVA,StructureDefinition/MedicationRequestPending,StructureDefinition/MedicationRequestUnsigned","THO"
http://hl7.org/fhir/ValueSet/mimetypes,4.0.1,active,"2.16.840.1.113883.4.642.3.1024",Mime Types,MimeType,"This value set includes all possible codes from BCP-13 (http://tools.ietf.org/html/bcp13)","StructureDefinition/DiagnosticReportNoteElectronMicroscopyDiagnosticReport,StructureDefinition/DiagnosticReportNoteSurgicalPathologyDiagnosticReport,StructureDefinition/DocumentReferenceDocumentReference,StructureDefinition/DocumentReferenceBinary,StructureDefinition/DiagnosticReportNoteCytopathologyDiagnosticReport","Other"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/Patient,StructureDefinition/VAERSPatient,StructureDefinition/DebtPortalPatient,StructureDefinition/Practitioner,StructureDefinition/Organization","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/note-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.15",NoteType,NoteType,"The presentation types of notes.","StructureDefinition/DebtPortalPaymentReconciliation","hl7.fhir.r4.core"
